"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2000","2000",8691,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2003","2003",9328,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2006","2006",10001,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2009","2009",11455,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",12062,"E; B","Estimated value; Break"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",12767,"E","Estimated value"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",13038,"E; B","Estimated value; Break"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",13457,"E","Estimated value"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",13849,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1980","1980",6283,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1981","1981",6380,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1982","1982",6516,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1983","1983",6631,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1984","1984",6722,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1985","1985",6805,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1986","1986",6897,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1987","1987",6977,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1988","1988",7076,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1989","1989",7178,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1990","1990",7221,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1991","1991",7275,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1992","1992",7493,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1993","1993",7618,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1994","1994",7784,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1995","1995",8278,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1996","1996",8534,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1997","1997",8584,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1998","1998",8767,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","1999","1999",8879,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2000","2000",8992,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2001","2001",9205,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2002","2002",9356,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2003","2003",9678,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2004","2004",10041,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2005","2005",10074,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2006","2006",10404,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2009","2009",11882,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",12599,"E; B","Estimated value; Break"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",13266,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",13481,"E; B","Estimated value; Break"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",13929,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",14322,"E","Estimated value"
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","1993","1993",9592,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","1994","1994",9604,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","1995","1995",9953,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","1996","1996",10348,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","1997","1997",10411,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","1998","1998",10507,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","1999","1999",10655,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2000","2000",10728,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2001","2001",10852,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2002","2002",11058,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2003","2003",11404,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2004","2004",11808,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2005","2005",11868,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2006","2006",12212,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2009","2009",12941,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",14099,"B","Break"
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",14687,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",15479,"E; B","Estimated value; Break"
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",15764,"E","Estimated value"
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",16123,"E","Estimated value"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1980","1980",1622,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1985","1985",2124,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1986","1986",2299,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1987","1987",2406,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1988","1988",2501,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1989","1989",2663,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1990","1990",2771,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1991","1991",2889,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1992","1992",2998,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1993","1993",3147,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1994","1994",3275,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1995","1995",3379,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1996","1996",3513,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1997","1997",3618,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1998","1998",3624,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","1999","1999",3666,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",3722,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",3879,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",3956,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",4037,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",4113,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",4232,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",4467,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",4490,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",4544,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",4619,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",4685,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",4743,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",4797,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",4853,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",4893,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",4906,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",4954,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1985","1985",6273,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1986","1986",6666,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1987","1987",6917,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1988","1988",7147,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1989","1989",7182,,
